PE,体育教育
job,工作
doctor,医生
farmer,农场主;农民
nurse,护士
worker,工人
office worker,上班族
factory worker,工厂工人
busy,忙碌的
tired,疲倦的
chore,家务活
cook,厨师
clean,清洁
room,房间
also,也
look after,照顾
sweep,打扫
floor,地板
together,一起
fun,乐趣
helpful,有帮助的
people,人们
child,孩子
his,他的
strong,强壮的
hair,头发
kind,善良的
quiet,安静的
best,最好的
read,读;阅读
Chinese,中文
player,选手
game,游戏
football,足球
both,两者都
basketball,篮球
always,总是
afternoon,下午
there,在那里
have,有;吃;得到
playground,操场;运动场;游乐场
garden,花园
park,公园;停车场
over,结束;越过;大于
hospital,医院
shop,商店
toilet,厕所
bus,公共汽车;巴士
stop,停止
library,图书馆
sport,运动
walk,走路
take,拿;取
take a walk,散步
favourite,最喜欢的
place,地方
photo,照片
story,故事
buy,购买
firefighter,消防员
why,为什么
driver,司机;驾驶员
cleaner,清洁工人
delivery worker,送货工人
police,警察
police officer,警官;警员
a lot of,许多;大量
those,那些
bed,床
make the bed,铺床
old,老的
tell,告诉
everyone,每个人
volunteer,志愿者
Mrs,夫人
speak,讲话;发言
weather,天气
sunny,阳光灿烂的;晴朗的
hot,热的
bad,坏的;糟糕的;严重的
cold,寒冷的;冰冷的
windy,有风的;多风的
cloudy,多云的;浑浊的
rainy,多雨的;下雨的
snowy,下雪的;多雪的
cool,凉爽的;酷的
warm,温暖的
tomorrow,明天
rain,雨;下雨
closed,关闭的
film,电影
fly,飞
kite,风筝
snowman,雪人
their,他们的
swim,游泳
Sydney,悉尼
whose,谁的
sweater,毛衣
sock,短袜
mine,我的
wear,穿;戴
shirt,衬衫
coat,大衣;外套
dress,连衣裙;衣服
which,哪个
season,季节
winter,冬季;冬天
snow,雪
get,得到
get together,聚会
spring,春天
summer,夏天
autumn,秋天
T shirt,T恤
fall,落下;秋天
leaf,叶子
glove,手套
then,然后
