Word,Meaning
英⽂,中⽂
"PE
/ˌpiːˈiː/","体育教育
;""physical"
"job
/dʒɒb/",⼯作
"doctor
/ˈdɒktər/","医⽣;博⼠
v. 篡改"
"farmer
/ˈfɑːmər/",农场主;农⺠
"nurse
/nɜːs/","护⼠;保姆
v. 护理;照料;喂奶"
"worker
/ˈwɜːkər/",⼯⼈;⼯作者;劳动者
office work er,上班族
factory worker,⼯⼚⼯⼈:在⼯⼚从事⽣产、制造、
"busy
/ˈbɪzi/",忙碌的;忙于
"tired
/ˈtaɪəd/","疲倦的;厌烦的
v. 使疲倦;使厌烦"
"chore
/tʃɔː/",家务活;杂事;令⼈讨厌的或繁重的⼯
"cook
/kʊk/","厨师
v. 烹饪"
"his
/hɪz/",他的(he的所有格)
"strong
/strɒŋ/",强壮的;强烈的
"hair
/heə/",头发;⽑发
"kind
/kaɪnd/",种 类    adj. 善良的;和蔼
"quiet
/ˈkwaɪət/",安静的
"best
/best/","最好的;最多的;最
⼤的;""good""的最"
"read
/riːd/",读;阅读
"afternoon
/ˌɑːftəˈnuːn/",下午
"there
/ðeə/",在那⾥
"have
/hæv/",有;吃;得到
"playground
/ˈpleɪɡraʊnd/",操场;运动场;游乐场
"garden
/ˈɡɑːdən/","花园
v. 从事园艺"
"park
/pɑːk/","公园;停⻋场
v. 停放;停⻋"
"over
/ˈəʊvər/",结束;越过;⼤于prep. 越过;遍于
"hospital
/ˈhɒspɪtl/",医院
"shop
/ʃɒp/","商店
v. 购物"
"toilet
/ˈtɔɪlət/","厕所;⻢桶;卫⽣间
;盥洗室"
"bus
/bʌs/",公共汽⻋;巴⼠
"firefighter
/ˈfaɪəfaɪtər/",消防员
"why
/waɪ/","为什么
n. 为什么"
"driver
/ˈdraɪvər/",司机;驾驶员
"cleaner
/ˈkliːnər/",清洁⼯⼈;清洁⼯具adj. 更洁净的;更⼲
delivery worker,送货⼯⼈
"police
/pəˈliːs/","警⽅;警察部⻔
v. 维持治安;管理;监"
police offi cer,警官;警员
"a lot of
/ə lɒt ɒv/",许多;⼤量
"speak
/spiːk/",讲话;发⾔
"weather
/ˈweðər/","天⽓
v. 使受⻛吹⾬打"
"sunny
/ˈsʌni/",阳光灿烂的;晴朗的
"hot
/hɒt/",热的
"bad
/bæd/",坏的;糟糕的;严重的
"cold
/kəʊld/",寒 冷 ; 感 冒 adj. 寒冷的;冰冷的
"windy
/ˈwɪndi/",有⻛的;多⻛的;空谈的;吹⽜的
"cloudy
/ˈklaʊdi/",多云的;浑浊的
"rainy
/ˈreɪni/",多⾬的;下⾬的
"snowy
/ˈsnəʊi/",下雪的;多雪的
"cool
/kuːl/",凉的;凉爽的;冷静的;顶好的;酷的
"whose
/huːz/",谁的
"sweater
/ˈswetər/",⽑⾐
"sock
/sɒk/",短袜
"mine
/maɪn/",矿;地雷pron. 我的(东西)
"wear
/weə/","穿;戴
n. ⾐着;磨损"
"shirt
/ʃɜːt/",衬衫
"coat
/kəʊt/","⼤⾐;外⾐
v. 给…穿上外⾐"
"dress
/dres/","连⾐裙;⾐服
v. (给…)穿⾐服"
"which
/wɪtʃ/",哪个adj. 哪个的
"season
/ˈsiːzən/","季节
v. 给...调味;⻛⼲"
"winter
/ˈwɪntər/",冬季;冬天
